,Cosines
99,Cosine Similarity Kalimat 13 : 14= 0.13552998822588536
100,Cosine Similarity Kalimat 14 : 16= 0.1620608108601051
101,Cosine Similarity Kalimat 17 : 18= 0.2550817622736844
102,Cosine Similarity Kalimat 12 : 14= 0.0895099019461005
103,Cosine Similarity Kalimat 13 : 14= 0.15992874174368632
104,Cosine Similarity Kalimat 14 : 16= 0.10717105410992468
105,Cosine Similarity Kalimat 14 : 15= 0.26041393660180673
106,Cosine Similarity Kalimat 15 : 16= 0.13448249193189055
107,Cosine Similarity Kalimat 10 : 11= 0.08016528103251015
108,Cosine Similarity Kalimat 12 : 13= 0.25236515848127533
109,Cosine Similarity Kalimat 12 : 13= 0.19997697789454558
110,Cosine Similarity Kalimat 13 : 16= 0.1411686355610485
111,Cosine Similarity Kalimat 10 : 11= 0.19495058097508644
112,Cosine Similarity Kalimat 15 : 17= 0.0964300441362746
113,Cosine Similarity Kalimat 9 : 10= 0.14105334663803842
114,Cosine Similarity Kalimat 12 : 13= 0.10762134608655562
115,Cosine Similarity Kalimat 16 : 17= 0.08495370919156826
116,Cosine Similarity Kalimat 15 : 16= 0.089911888711223
117,Cosine Similarity Kalimat 10 : 11= 0.2511339331654456
118,Cosine Similarity Kalimat 16 : 18= 0.14575123064095746
119,Cosine Similarity Kalimat 18 : 19= 0.31284866414840923
120,Cosine Similarity Kalimat 13 : 14= 0.24124035917293468
121,Cosine Similarity Kalimat 15 : 16= 0.24155721921764722
122,Cosine Similarity Kalimat 14 : 15= 0.2635124505335599
123,Cosine Similarity Kalimat 12 : 14= 0.17502072445172465
124,Cosine Similarity Kalimat 13 : 15= 0.39542170591230097
125,Cosine Similarity Kalimat 13 : 15= 0.12159567517691236
126,Cosine Similarity Kalimat 16 : 17= 0.2603212565735801
127,Cosine Similarity Kalimat 21 : 22= 0.2424409712736775
128,Cosine Similarity Kalimat 17 : 19= 0.15277595037271569
129,Cosine Similarity Kalimat 15 : 16= 0.5212157007905105
130,Cosine Similarity Kalimat 14 : 15= 0.1802229738026625
131,Cosine Similarity Kalimat 12 : 13= 0.1938552296759739
132,Cosine Similarity Kalimat 12 : 13= 0.24475294792309005
133,Cosine Similarity Kalimat 15 : 16= 0.3553301215298561
134,Cosine Similarity Kalimat 15 : 16= 0.10998718464367775
135,Cosine Similarity Kalimat 14 : 15= 0.27816991950694014
136,Cosine Similarity Kalimat 16 : 18= 0.15216620740359868
137,Cosine Similarity Kalimat 12 : 13= 0.23180583521985118
138,Cosine Similarity Kalimat 12 : 13= 0.2260438175806929
139,Cosine Similarity Kalimat 20 : 21= 0.10376435746808205
140,Cosine Similarity Kalimat 13 : 14= 0.10794279634658654
141,Cosine Similarity Kalimat 20 : 21= 0.09604263752013875
142,Cosine Similarity Kalimat 14 : 15= 0.31128799379609107
143,Cosine Similarity Kalimat 13 : 14= 0.18584014654529907
144,Cosine Similarity Kalimat 10 : 12= 0.10088223140341405
145,Cosine Similarity Kalimat 12 : 16= 0.10757439468514832
146,Cosine Similarity Kalimat 12 : 13= 0.10010969410274045
147,Cosine Similarity Kalimat 13 : 16= 0.23276307988647102
148,Cosine Similarity Kalimat 16 : 17= 0.2009358065976933
149,Cosine Similarity Kalimat 12 : 13= 0.18540534268769437
150,Cosine Similarity Kalimat 15 : 16= 0.08839864999317243
151,Cosine Similarity Kalimat 13 : 15= 0.10363476135750083
152,Cosine Similarity Kalimat 16 : 17= 0.2232332310662754
153,Cosine Similarity Kalimat 18 : 19= 0.1898539996149874
154,Cosine Similarity Kalimat 12 : 13= 0.09901751016577987
155,Cosine Similarity Kalimat 15 : 16= 0.29139619339611267
156,Cosine Similarity Kalimat 15 : 16= 0.12267418144269915
157,Cosine Similarity Kalimat 17 : 18= 0.1044618691333649
158,Cosine Similarity Kalimat 13 : 14= 0.17658336745216083
159,Cosine Similarity Kalimat 19 : 22= 0.14162050041960478
160,Cosine Similarity Kalimat 13 : 14= 0.14782368179992814
161,Cosine Similarity Kalimat 12 : 14= 0.22451972423365907
162,Cosine Similarity Kalimat 17 : 18= 0.11183594092768155
163,Cosine Similarity Kalimat 13 : 15= 0.15593728436774038
164,Cosine Similarity Kalimat 17 : 18= 0.13169129650621297
165,Cosine Similarity Kalimat 12 : 15= 0.21180708628342987
166,Cosine Similarity Kalimat 15 : 17= 0.13390663132586028
167,Cosine Similarity Kalimat 11 : 14= 0.17278779671708983
168,Cosine Similarity Kalimat 13 : 14= 0.14172937461430649
169,Cosine Similarity Kalimat 9 : 11= 0.10614494481305269
170,Cosine Similarity Kalimat 14 : 15= 0.09894346692530806
171,Cosine Similarity Kalimat 13 : 14= 0.11962416811062745
172,Cosine Similarity Kalimat 15 : 16= 0.08257042604907897
173,Cosine Similarity Kalimat 14 : 17= 0.19443836963351846
174,Cosine Similarity Kalimat 16 : 17= 0.186676933024256
175,Cosine Similarity Kalimat 12 : 13= 0.26530381817508736
176,Cosine Similarity Kalimat 18 : 20= 0.11748060076039706
177,Cosine Similarity Kalimat 17 : 19= 0.12187079602105863
178,Cosine Similarity Kalimat 20 : 21= 0.2479332741998837
179,Cosine Similarity Kalimat 16 : 17= 0.16199728606845631
180,Cosine Similarity Kalimat 13 : 15= 0.1342608859490127
181,Cosine Similarity Kalimat 15 : 16= 0.08580989692571798
182,Cosine Similarity Kalimat 16 : 17= 0.11785739478412353
183,Cosine Similarity Kalimat 12 : 14= 0.1269514612244371
184,Cosine Similarity Kalimat 14 : 16= 0.13879718872731894
185,Cosine Similarity Kalimat 13 : 15= 0.10149619908413843
186,Cosine Similarity Kalimat 9 : 11= 0.14216374779908358
187,Cosine Similarity Kalimat 14 : 15= 0.11379266909717037
188,Cosine Similarity Kalimat 15 : 16= 0.282072422168361
189,Cosine Similarity Kalimat 13 : 15= 0.0829959159275605
190,Cosine Similarity Kalimat 13 : 14= 0.14243631281851457
191,Cosine Similarity Kalimat 14 : 15= 0.3006501105082212
192,Cosine Similarity Kalimat 14 : 16= 0.12670824754519183
193,Cosine Similarity Kalimat 13 : 14= 0.13534159338811425
194,Cosine Similarity Kalimat 16 : 17= 0.24227938408949046
195,Cosine Similarity Kalimat 15 : 17= 0.1155596430802876
196,Cosine Similarity Kalimat 14 : 16= 0.14053302007979065
197,Cosine Similarity Kalimat 11 : 14= 0.08537161085285358
198,Cosine Similarity Kalimat 13 : 14= 0.1938454001389646
199,Cosine Similarity Kalimat 17 : 18= 0.1492067957614537
200,Cosine Similarity Kalimat 8 : 13= 0.17198088196259623
201,Cosine Similarity Kalimat 18 : 19= 0.2005422033974359
202,Cosine Similarity Kalimat 14 : 15= 0.12984826457400203
203,Cosine Similarity Kalimat 16 : 17= 0.09090118112723125
204,Cosine Similarity Kalimat 14 : 15= 0.18837253181848884
205,Cosine Similarity Kalimat 16 : 17= 0.09991830743070329
