,Closenes
560,Closenes Centrality Node 15 = 0.2768878718535469
561,Closenes Centrality Node 20 = 0.23472222222222222
562,Closenes Centrality Node 18 = 0.3557168784029038
563,Closenes Centrality Node 18 = 0.29493087557603687
564,Closenes Centrality Node 6 = 0.40909090909090906
565,Closenes Centrality Node 16 = 0.0
566,Closenes Centrality Node 7 = 0.20779220779220778
567,Closenes Centrality Node 11 = 0.275
568,Closenes Centrality Node 14 = 0.20242914979757085
569,Closenes Centrality Node 17 = 0.07017543859649122
570,Closenes Centrality Node 13 = 0.3333333333333333
571,Closenes Centrality Node 19 = 0.24060150375939848
572,Closenes Centrality Node 20 = 0.0
573,Closenes Centrality Node 12 = 0.48
574,Closenes Centrality Node 8 = 0.2620320855614973
575,Closenes Centrality Node 53 = 0.23725490196078433
576,Closenes Centrality Node 11 = 0.13227513227513227
577,Closenes Centrality Node 6 = 0.17582417582417584
578,Closenes Centrality Node 22 = 0.23046251993620412
579,Closenes Centrality Node 6 = 1.0
580,Closenes Centrality Node 8 = 0.09523809523809523
581,Closenes Centrality Node 12 = 0.07142857142857142
582,Closenes Centrality Node 17 = 0.4515625
583,Closenes Centrality Node 18 = 0.37345679012345684
584,Closenes Centrality Node 11 = 0.07692307692307693
585,Closenes Centrality Node 15 = 0.2517482517482517
586,Closenes Centrality Node 22 = 0.41023255813953485
587,Closenes Centrality Node 17 = 0.40834845735027225
588,Closenes Centrality Node 15 = 0.13440860215053763
589,Closenes Centrality Node 12 = 0.25396825396825395
590,Closenes Centrality Node 13 = 0.13445378151260504
591,Closenes Centrality Node 28 = 0.5785714285714285
592,Closenes Centrality Node 6 = 0.5
593,Closenes Centrality Node 2 = 0.0
594,Closenes Centrality Node 24 = 0.38844086021505375
595,Closenes Centrality Node 9 = 0.0
596,Closenes Centrality Node 13 = 0.0
597,Closenes Centrality Node 15 = 0.40322580645161293
598,Closenes Centrality Node 17 = 0.37692307692307686
599,Closenes Centrality Node 16 = 0.0
600,Closenes Centrality Node 16 = 0.307797537619699
601,Closenes Centrality Node 31 = 0.35208333333333336
602,Closenes Centrality Node 4 = 0.07142857142857142
603,Closenes Centrality Node 20 = 0.0
604,Closenes Centrality Node 10 = 0.0
605,Closenes Centrality Node 18 = 0.4269449715370019
606,Closenes Centrality Node 20 = 0.0
607,Closenes Centrality Node 13 = 0.32051282051282054
608,Closenes Centrality Node 18 = 0.0
609,Closenes Centrality Node 24 = 0.2520833333333333
610,Closenes Centrality Node 8 = 0.1488095238095238
611,Closenes Centrality Node 13 = 0.0
612,Closenes Centrality Node 12 = 0.3402777777777778
613,Closenes Centrality Node 14 = 0.0
614,Closenes Centrality Node 10 = 0.1736111111111111
615,Closenes Centrality Node 23 = 0.0
616,Closenes Centrality Node 18 = 0.46612903225806446
617,Closenes Centrality Node 5 = 0.0
618,Closenes Centrality Node 7 = 0.09375
619,Closenes Centrality Node 20 = 0.14835164835164835
620,Closenes Centrality Node 14 = 0.23902439024390243
621,Closenes Centrality Node 2 = 0.0
622,Closenes Centrality Node 15 = 0.0
623,Closenes Centrality Node 15 = 0.34449760765550236
624,Closenes Centrality Node 12 = 0.1875
625,Closenes Centrality Node 13 = 0.15126050420168066
626,Closenes Centrality Node 14 = 0.1984126984126984
627,Closenes Centrality Node 13 = 0.23529411764705882
628,Closenes Centrality Node 12 = 0.32010582010582006
629,Closenes Centrality Node 21 = 0.0
630,Closenes Centrality Node 12 = 0.23529411764705885
631,Closenes Centrality Node 27 = 0.28912783751493426
632,Closenes Centrality Node 18 = 0.462962962962963
633,Closenes Centrality Node 16 = 0.5208333333333334
634,Closenes Centrality Node 26 = 0.0
635,Closenes Centrality Node 8 = 0.13333333333333333
636,Closenes Centrality Node 23 = 0.3648648648648649
637,Closenes Centrality Node 17 = 0.0
638,Closenes Centrality Node 6 = 0.15384615384615385
639,Closenes Centrality Node 11 = 0.27705627705627706
640,Closenes Centrality Node 10 = 0.0
641,Closenes Centrality Node 12 = 0.3681818181818182
642,Closenes Centrality Node 14 = 0.5377777777777777
643,Closenes Centrality Node 6 = 0.462962962962963
644,Closenes Centrality Node 15 = 0.4023809523809524
645,Closenes Centrality Node 15 = 0.4023809523809524
646,Closenes Centrality Node 11 = 0.5475113122171946
647,Closenes Centrality Node 11 = 0.2620320855614973
648,Closenes Centrality Node 22 = 0.2522167487684729
649,Closenes Centrality Node 18 = 0.48
650,Closenes Centrality Node 6 = 0.0
651,Closenes Centrality Node 12 = 0.24200000000000002
652,Closenes Centrality Node 13 = 0.2400793650793651
653,Closenes Centrality Node 6 = 0.8571428571428571
654,Closenes Centrality Node 25 = 0.19484702093397746
655,Closenes Centrality Node 13 = 0.19471153846153846
656,Closenes Centrality Node 24 = 0.36627906976744184
657,Closenes Centrality Node 11 = 0.1111111111111111
658,Closenes Centrality Node 10 = 0.0
659,Closenes Centrality Node 18 = 0.2344497607655502
660,Closenes Centrality Node 9 = 0.20454545454545453
661,Closenes Centrality Node 3 = 0.25
662,Closenes Centrality Node 4 = 0.4444444444444444
663,Closenes Centrality Node 25 = 0.3203559510567297
664,Closenes Centrality Node 12 = 0.32679738562091504
665,Closenes Centrality Node 3 = 0.0
666,Closenes Centrality Node 20 = 0.3906926406926407
667,Closenes Centrality Node 11 = 0.27700831024930744
668,Closenes Centrality Node 13 = 0.1616161616161616
669,Closenes Centrality Node 9 = 0.06666666666666667
670,Closenes Centrality Node 6 = 0.17777777777777776
671,Closenes Centrality Node 8 = 0.2722222222222222
672,Closenes Centrality Node 1 = 0.0
673,Closenes Centrality Node 5 = 0.0
674,Closenes Centrality Node 13 = 0.23076923076923078
675,Closenes Centrality Node 10 = 0.41025641025641024
676,Closenes Centrality Node 13 = 0.3401360544217687
677,Closenes Centrality Node 11 = 0.19841269841269843
678,Closenes Centrality Node 13 = 0.14327485380116958
679,Closenes Centrality Node 16 = 0.32000000000000006
680,Closenes Centrality Node 8 = 0.36
681,Closenes Centrality Node 13 = 0.4082125603864734
682,Closenes Centrality Node 6 = 0.15
683,Closenes Centrality Node 6 = 0.390625
684,Closenes Centrality Node 3 = 0.22499999999999998
685,Closenes Centrality Node 8 = 0.2962962962962963
686,Closenes Centrality Node 12 = 0.29411764705882354
687,Closenes Centrality Node 16 = 0.045454545454545456
688,Closenes Centrality Node 13 = 0.46944444444444444
689,Closenes Centrality Node 13 = 0.12121212121212122
690,Closenes Centrality Node 19 = 0.1588235294117647
691,Closenes Centrality Node 13 = 0.2571428571428571
692,Closenes Centrality Node 7 = 0.0
693,Closenes Centrality Node 10 = 0.23333333333333334
694,Closenes Centrality Node 10 = 0.12307692307692308
695,Closenes Centrality Node 6 = 0.09090909090909091
696,Closenes Centrality Node 19 = 0.16689655172413792
697,Closenes Centrality Node 5 = 0.14285714285714285
698,Closenes Centrality Node 17 = 0.19215686274509802
699,Closenes Centrality Node 12 = 0.2777777777777778
700,Closenes Centrality Node 11 = 0.41538461538461535
701,Closenes Centrality Node 10 = 0.16040100250626566
702,Closenes Centrality Node 10 = 0.3076923076923077
703,Closenes Centrality Node 11 = 0.2506265664160401
704,Closenes Centrality Node 9 = 0.23529411764705882
705,Closenes Centrality Node 4 = 0.28125
706,Closenes Centrality Node 10 = 0.4132231404958677
707,Closenes Centrality Node 19 = 0.19047619047619047
708,Closenes Centrality Node 25 = 0.5517241379310346
709,Closenes Centrality Node 16 = 0.5408653846153846
710,Closenes Centrality Node 5 = 0.36
711,Closenes Centrality Node 26 = 0.3639112903225806
712,Closenes Centrality Node 22 = 0.47647058823529415
713,Closenes Centrality Node 19 = 0.0
714,Closenes Centrality Node 23 = 0.18115942028985507
715,Closenes Centrality Node 13 = 0.43214285714285716
716,Closenes Centrality Node 10 = 0.1724137931034483
717,Closenes Centrality Node 5 = 0.0
718,Closenes Centrality Node 12 = 0.3157894736842105
719,Closenes Centrality Node 5 = 0.0
720,Closenes Centrality Node 22 = 0.15312499999999998
721,Closenes Centrality Node 21 = 0.3471153846153846
722,Closenes Centrality Node 21 = 0.16741071428571427
723,Closenes Centrality Node 10 = 0.21052631578947367
724,Closenes Centrality Node 15 = 0.45187165775401067
725,Closenes Centrality Node 14 = 0.44720496894409933
726,Closenes Centrality Node 12 = 0.3508771929824561
727,Closenes Centrality Node 10 = 0.13846153846153847
728,Closenes Centrality Node 3 = 0.0
729,Closenes Centrality Node 23 = 0.31609756097560976
730,Closenes Centrality Node 14 = 0.5929824561403509
731,Closenes Centrality Node 8 = 0.0
732,Closenes Centrality Node 8 = 0.0
733,Closenes Centrality Node 18 = 0.4734299516908213
734,Closenes Centrality Node 25 = 0.4556416881998277
735,Closenes Centrality Node 19 = 0.3155680224403927
736,Closenes Centrality Node 13 = 0.3116883116883116
737,Closenes Centrality Node 23 = 0.4188034188034188
738,Closenes Centrality Node 26 = 0.135
739,Closenes Centrality Node 15 = 0.26666666666666666
740,Closenes Centrality Node 17 = 0.23529411764705885
741,Closenes Centrality Node 8 = 0.1801470588235294
742,Closenes Centrality Node 7 = 0.24242424242424243
743,Closenes Centrality Node 17 = 0.15238095238095237
744,Closenes Centrality Node 9 = 0.27222222222222225
745,Closenes Centrality Node 7 = 0.0
746,Closenes Centrality Node 12 = 0.6923076923076923
747,Closenes Centrality Node 17 = 0.5192697768762677
748,Closenes Centrality Node 6 = 0.0
749,Closenes Centrality Node 8 = 0.0
750,Closenes Centrality Node 11 = 0.35380116959064334
751,Closenes Centrality Node 13 = 0.2591093117408907
752,Closenes Centrality Node 17 = 0.26455026455026454
753,Closenes Centrality Node 10 = 0.21929824561403508
754,Closenes Centrality Node 11 = 0.3389355742296919
755,Closenes Centrality Node 20 = 0.32
756,Closenes Centrality Node 13 = 0.303030303030303
757,Closenes Centrality Node 14 = 0.35294117647058826
758,Closenes Centrality Node 15 = 0.05555555555555555
759,Closenes Centrality Node 5 = 0.14814814814814814
760,Closenes Centrality Node 25 = 0.3141025641025641
761,Closenes Centrality Node 17 = 0.39999999999999997
762,Closenes Centrality Node 25 = 0.3633241758241758
763,Closenes Centrality Node 13 = 0.2620320855614973
764,Closenes Centrality Node 12 = 0.32010582010582017
765,Closenes Centrality Node 2 = 0.0
766,Closenes Centrality Node 9 = 0.0
767,Closenes Centrality Node 11 = 0.27700831024930744
768,Closenes Centrality Node 6 = 0.12121212121212122
769,Closenes Centrality Node 29 = 0.4915360501567398
770,Closenes Centrality Node 28 = 0.3894523326572008
771,Closenes Centrality Node 13 = 0.5413533834586466
772,Closenes Centrality Node 16 = 0.2764127764127764
773,Closenes Centrality Node 5 = 0.0
774,Closenes Centrality Node 9 = 0.23703703703703702
775,Closenes Centrality Node 14 = 0.5714285714285714
776,Closenes Centrality Node 15 = 0.448512585812357
777,Closenes Centrality Node 9 = 0.27705627705627706
778,Closenes Centrality Node 8 = 0.2094017094017094
779,Closenes Centrality Node 4 = 0.17582417582417584
780,Closenes Centrality Node 14 = 0.0992063492063492
781,Closenes Centrality Node 7 = 0.16233766233766234
782,Closenes Centrality Node 20 = 0.23225806451612901
783,Closenes Centrality Node 23 = 0.3011764705882353
784,Closenes Centrality Node 15 = 0.06060606060606061
785,Closenes Centrality Node 18 = 0.4537037037037037
786,Closenes Centrality Node 5 = 0.0
787,Closenes Centrality Node 5 = 0.6944444444444445
788,Closenes Centrality Node 32 = 0.416017316017316
789,Closenes Centrality Node 19 = 0.06349206349206349
790,Closenes Centrality Node 15 = 0.21228070175438596
791,Closenes Centrality Node 21 = 0.43859649122807015
792,Closenes Centrality Node 16 = 0.1736111111111111
793,Closenes Centrality Node 19 = 0.5372023809523809
794,Closenes Centrality Node 18 = 0.20300751879699247
795,Closenes Centrality Node 11 = 0.37812500000000004
796,Closenes Centrality Node 6 = 0.5454545454545454
797,Closenes Centrality Node 30 = 0.48635235732009924
798,Closenes Centrality Node 9 = 0.4475524475524476
799,Closenes Centrality Node 21 = 0.3760416666666666
800,Closenes Centrality Node 13 = 0.23809523809523808
801,Closenes Centrality Node 6 = 0.0
802,Closenes Centrality Node 11 = 0.26455026455026454
803,Closenes Centrality Node 11 = 0.0
804,Closenes Centrality Node 14 = 0.40329218106995884
805,Closenes Centrality Node 15 = 0.5172413793103449
806,Closenes Centrality Node 4 = 0.20512820512820512
807,Closenes Centrality Node 5 = 0.35714285714285715
808,Closenes Centrality Node 29 = 0.2929782082324455
809,Closenes Centrality Node 12 = 0.44322344322344326
